               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.032354,            0.025891,           0.0087527,             0.71924,             0.47535,             0.51717,             0.34095,            0.045748,            0.033729,            0.022538,             0.00208,             0.00208,             0.00208
                 122,            0.031028,              0.0241,           0.0087819,             0.71067,             0.49547,             0.51691,             0.33106,            0.046374,             0.03471,            0.023002,            0.002014,            0.002014,            0.002014
                 123,            0.031508,            0.025178,           0.0090141,             0.71743,             0.49733,             0.51929,             0.34963,            0.045945,            0.033856,            0.022008,            0.001948,            0.001948,            0.001948
                 124,            0.031651,            0.025404,           0.0088038,             0.72475,             0.49682,             0.52092,             0.34065,             0.04589,            0.033393,            0.022972,            0.001882,            0.001882,            0.001882
                 125,            0.031464,            0.023766,           0.0086777,             0.72842,             0.49479,             0.52087,             0.34401,            0.045708,            0.033853,            0.023088,            0.001816,            0.001816,            0.001816
                 126,            0.031042,            0.024735,           0.0080406,             0.73371,             0.48963,             0.52772,             0.34294,             0.04556,            0.034258,            0.023046,             0.00175,             0.00175,             0.00175
                 127,            0.031309,            0.024795,            0.008762,             0.73085,             0.49068,             0.52596,             0.34758,              0.0457,             0.03418,            0.023173,            0.001684,            0.001684,            0.001684
                 128,             0.03089,            0.024639,           0.0088337,             0.73374,             0.48818,             0.52205,             0.35222,            0.046033,            0.033862,            0.022885,            0.001618,            0.001618,            0.001618
                 129,             0.03034,            0.024873,           0.0083126,             0.75204,             0.48645,              0.5295,             0.35249,              0.0455,            0.033332,            0.022606,            0.001552,            0.001552,            0.001552
                 130,            0.030308,            0.024115,           0.0080055,              0.7449,             0.48248,             0.52249,             0.35177,            0.045433,            0.033875,            0.023255,            0.001486,            0.001486,            0.001486
                 131,            0.030536,             0.02591,           0.0083287,               0.757,              0.4829,             0.51897,             0.34701,            0.045869,            0.034293,            0.023752,             0.00142,             0.00142,             0.00142
                 132,            0.030916,            0.023522,           0.0082457,             0.79323,             0.47866,             0.51891,              0.3443,            0.045855,            0.034435,             0.02388,            0.001354,            0.001354,            0.001354
